id,changevalue,market_cap,nane,price,supply,volume
90,-0.0084,"$12,799,006 ",Omni,22.86,"559,786 OMNI *",41528
91,-0.007,"$12,751,674 ",ATC Coin,1.21,"10,525,960 ATCC *",498063
92,0.0011,"$12,526,103 ",Energycoin,0.1,"121,243,039 ENRG",20940
93,-0.0788,"$12,519,449 ",Rubycoin,0.5,"24,792,314 RBY *",45798
94,0.0029,"$12,437,419 ",Gambit,10.42,"1,193,530 GAM *",114899
95,-0.0189,"$12,348,031 ",E-coin,3.08,"4,008,919 ECN",69387
96,-0.0408,"$12,276,886 ",SaluS,12.23,"1,004,195 SLS *",51408
97,-0.0453,"$12,211,006 ",Groestlcoin,0.18,"68,438,903 GRS",1205620
98,-0.0181,"$12,208,321 ",BlackCoin,0.16,"76,386,509 BLK *",324479
99,-0.0569,"$11,820,678 ",Golos,0.09,"124,518,891 GOLOS",12482
100,-0.052,"$11,816,250 ",GridCoin,0.03,"390,312,753 GRC",276327
